Timestamp,Name of your College ,Age in years (please enter only a number/integer),Which district is your hometown located in?,PINCODE of your home address,Approx. Distance of your home from IIT Bhilai (in Kms). Enter only a number (floating point).,Approx. Time to reach IIT Bhilai from your hometown (in hours). Enter only a number (floating point) ,Did you appear in JEE?,"How comfortable are you with math of data science fundamentals: Linear algebra, Optimization, Statistics, Probability?",How comfortable are you with coding in Python?,What is your career goal?,What do you expect to learn from this workshop?,"What applications of data science are you most interested in? Give examples from your daily life, or things that impact you most...or where you can make an impact."
7-13-2025 13:23:47,"Shri Shankaracharya Technical Campus, Bhilai",20,Bhilai,490020,6,0.5,Appeared but didn't Qualify,"Beginner: can't understand how to model data with maths, concepts not clear",Never done coding in python. Done coding in other languages,"I aim to build advanced software solutions in Fintech, focusing on algorithmic trading, decentralised apps and crypto-related platforms. ","To enhance my understanding of real-time processing, data analysis, dashboard design/development, and machine learning..which are key areas that support my professional goal of developing advanced FinTech (crypto/algorithmic trading) and Web3(Dapps) applications....","Mainly in finance..like predicting crypto trends, building trading bots, and analyzing blockchain data to improve DeFi platforms.The workshop will give me hands on experience to web scraping which can help me scrap data on crypto trends or white paper, which will help me get better insights and intel.at day 6 I get to learn about streaming or real time apps which is core of Web3/Dapps.And that's just two of many reasons why this workshop is an opportunity for me to get closer to my career goal since the syllabus is like a personally tailored career roadmap for me."
7-13-2025 13:41:02,RCET(Bhilai) R1,19,Durg,490024,10km,30m,Never appeared in JEE,"Beginner: can't understand how to model data with maths, concepts not clear",Coding is not my thing. I am a math lover...,high paying job,know about data science,E commerce site
7-13-2025 14:09:43,Chhattisgarh Swami Vivekananda Technical university ,20,Durg,490006,15km,40 min,Qualified JEE Mains,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Engineer ,"I am looking forward to being inspired by the professionals that helps in knowledge gaining, carrier building.","I'm most interested in healthcare analytics?predicting diseases early, optimizing treatments, and improving patient outcomes using real-world medical data."
7-13-2025 14:15:14,Chhattisgarh swami vivekanand technical university ,20,Durg,490006,15km,35 min,Qualified JEE Mains,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",AI engineer,"I expect to gain valuable insights, learning new skills and take away practical knowledge that I can apply in my projects and leads to better career building.","I care about traffic optimization?using real-time data to reduce congestion, save time, and cut emissions in daily city commuting."
7-13-2025 14:19:49,Shri Shankaracharya Technical Campus ,20,Korba,495684,4.6,0.5,Appeared but didn't Qualify,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects",Probably a startup for data analysts or an employee in Amazon.,Recieving guidance from the IITian professionals for further career path,"I am interested to understand about the smart devices like Alexa, Voice Assistants  "
7-13-2025 14:49:17,Rungta College of Enginerring and Technology,20,Durg,490023,10,0.3,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Proficient: Used numpy, pandas, sklearn and made my own projects",Full stack Data Scientist,Real world use of data analysis,"The areas of data science that interest me most are those where technology can directly improve everyday life, especially in public safety, logistics, and financial decision-making."
7-13-2025 15:21:37,CSVTU,20,Nagpur,440034,253,5,Qualified JEE Mains,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",To become an AI/ML engineer,Data Science and Machine Learning concepts ,Healthcare
7-13-2025 15:33:14,Shiri shankaracharya technical campus juvani bhilai,20,Rajnandgaon ,491661,75,3,Never appeared in JEE,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects",Data scientist ,About data science ,Educational and learning 
7-13-2025 16:32:57,Shri Shankaracharya technical campus ,20,Bhilai,490026,20,1,Never appeared in JEE,"Intermediate: can model some problems, solve some problems","Proficient: Used numpy, pandas, sklearn and made my own projects, Intermediate: Some familiarity, made 1-2 projects",I want to becoming a pro python developer ,"This workshop will help me a lot in achieving my dream to become a developer 

","I?m interested in using data science to support entrepreneurship. It can help find business opportunities, understand customers better."
7-13-2025 17:01:31,Rungta college of engineering and technology ,20,Durg,490029,6km,2hours,Never appeared in JEE,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Because a web developer ,Become a Great coder ,Banking and finance 
7-13-2025 18:08:15,"Rungta College Of Engineering & Technology,R1 Bhilai ",19,Durg,490024,5,0.5,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",AI Engineer,"I expect to gain practical skills in data science, including Python, machine learning, and data visualization, to apply in real-world scenarios.","I'm interested in healthcare and finance, where data science can improve patient outcomes and enhance risk management."
7-13-2025 18:08:16,"Rungta College Of Engineering and Technology, R1 Bhilai",20,Durg,490023,5,0.5,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Software Developer,Practical data analytics & visualization. Working with real-world datasets. Applying Python & math concepts to solve problems,"I'm interested in healthcare predictions, personalized learning, and using data for real-life problem"
7-13-2025 19:53:11,"Shri Shankaracharya Technical Campus, Bhilai",22,Mahasamund ,493445,100,,,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects","My goal is to become a skilled software engineer. Right now, I?m focused on building strong core skills, and in the future, I aim to take on larger responsibilities and lead projects that create real impact.","I expect to gain a deeper understanding of the core concepts of data science, including data cleaning,  data analysis, and model building. I'm especially interested in learning practical techniques and tools used in the industry to analyze real world datasets.","Health care, climate, history, for example in education, I could help personalize learning paths using data on students progress and preferences, making learning more effective and engaging."
7-13-2025 21:18:42,Rungta College of Engineering and Technology Bhilai ,20,Durg,490006,10,0.25,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Proficient: Used numpy, pandas, sklearn and made my own projects",Building a startup or become a data analyst ,Deep understanding of data science and how the things works,Excel
7-13-2025 21:22:09,RCET BHILAI ,21,Durg,490023,10 km ,,,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects",Job ,,
7-13-2025 21:38:49,"Bhilai Institute of Technology, Durg",20,Dhamtari,493776,10,1,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",To become a Data scientist and Space Researcher,How to keep continuing on the path of AI and ML,HealthCare
7-13-2025 23:47:57,"Shri Shankaracharya Technical Campus,Bhilai",21,Janjgir -champa ,495559,220,5,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",My career goal is to gain more and more knowledge and support which increases my interest towards my goal to become in the field of data Science .,"By getting more and good guidance so that I can improve my skills which I need to,which will help me a lot because of workshop and after that I will further continuing it.",Progress monitoring is that which I was really interested in it .As it keep maintain your track record of working So that we can save our progress and then we can further  start working from our save progress on same work.
7-14-2025 1:54:05,Government Engineering College Raipur,21,Raipur,492015,44,1.3,Appeared but didn't Qualify,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects","Learn skills and pursue career in data science, data analysis and ML",,
7-14-2025 6:23:11,Shri Shankaracharya Technical Campus,19,Raipur,490026,5.2 Kms,25,Appeared but didn't Qualify,"Beginner: can't understand how to model data with maths, concepts not clear",Never done coding in python. Done coding in other languages,In career I want to become a Data Scientist,I expect that I can learn a fundamentals and cores of Data Science  that how it exactly works,"Mental Health and Well-being Why it matters: Mental health issues are rising but still underdiagnosed. Personal impact: Social media, screen time, sleep patterns affect well-being."
7-14-2025 7:56:45,Anjaneya University ,19,Raipur ,492001,60,2,Appeared but didn't Qualify,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects","I want to become a AI/ML Engineer as I'm interested in AI and ML, and I'm looking to learn more about it. I'm excited to explore the possibilities of these technologies and see how I can apply them in real-world scenarios.","Hands on experience, practical skills to achieve career goals, networking opportunities, how data science is used in our daily life.",
7-14-2025 8:32:42,Government engineering College Raipur ,21,Janjgir champa ,495552,,,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Proficient: Used numpy, pandas, sklearn and made my own projects",Ai/ ml Engineer ,,
7-14-2025 9:10:09,Ccet,22,Bhilai,490024,15,30 minute,Never appeared in JEE,"Intermediate: can model some problems, solve some problems","Proficient: Used numpy, pandas, sklearn and made my own projects",Software ,I won't to learn about python language,Training model 
7-14-2025 9:22:22,Government Engineering College Raipur ,19,Raipur ,492015,50,2hrs,Qualified JEE Mains,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Data Scientist ,,
